"lat","lon","depth","starttime","energy","duration","date","day_of_year"
40.81,-122.915,28.5," 2011-06-03 23:17:30",0," None ",2011-06-03,154
40.71,-122.985,20," 2011-06-03 23:37:30",0," None ",2011-06-03,154
43.64,-123.3,47," 2011-06-04 00:25:00",0," None ",2011-06-04,155
40.99,-122.99,20," 2011-06-04 00:25:00",0," None ",2011-06-04,155
40.74,-122.98,20," 2011-06-04 00:47:30",0," None ",2011-06-04,155
40.715,-122.99,20," 2011-06-04 00:50:00",0," None ",2011-06-04,155
40.77,-123.06,20," 2011-06-04 01:00:00",0," None ",2011-06-04,155
40.73,-122.95,20," 2011-06-04 01:02:30",0," None ",2011-06-04,155
40.73,-122.98,20," 2011-06-04 01:05:00",0," None ",2011-06-04,155
40.7,-122.93,50," 2011-06-04 01:10:00",0," None ",2011-06-04,155
40.79,-123.06,34.5," 2011-06-04 01:17:30",0," None ",2011-06-04,155
40.79,-123.11,20.5," 2011-06-04 01:20:00",0," None ",2011-06-04,155
43.63,-123.47,20," 2011-06-04 01:22:30",0," None ",2011-06-04,155
40.77,-123.1,20," 2011-06-04 01:52:30",0," None ",2011-06-04,155
43.64,-123.29,40," 2011-06-04 01:55:00",0," None ",2011-06-04,155
40.78,-123.06,20," 2011-06-04 01:55:00",0," None ",2011-06-04,155
43.49,-123.6,30," 2011-06-04 01:57:30",0," None ",2011-06-04,155
40.76,-122.9,60," 2011-06-04 01:57:30",0," None ",2011-06-04,155
48.89,-124.84,20," 2011-06-04 02:02:30",0," None ",2011-06-04,155
40.68,-122.87,43," 2011-06-04 02:02:30",0," None ",2011-06-04,155
48.9,-124.835,20," 2011-06-04 02:05:00",0," None ",2011-06-04,155
40.71,-122.84,26," 2011-06-04 02:05:00",0," None ",2011-06-04,155
48.89,-124.84,20," 2011-06-04 02:07:30",0," None ",2011-06-04,155
43.58,-123.31,20," 2011-06-04 02:10:00",0," None ",2011-06-04,155
43.61,-123.16,25," 2011-06-04 02:25:00",0," None ",2011-06-04,155
49.03,-124.1,30," 2011-06-04 02:27:30",0," None ",2011-06-04,155
43.61,-123.235,30," 2011-06-04 02:27:30",0," None ",2011-06-04,155
43.6,-123.27,33," 2011-06-04 02:32:30",0," None ",2011-06-04,155
43.565,-123.435,60," 2011-06-04 02:45:00",0," None ",2011-06-04,155
49.015,-124.185,60," 2011-06-04 02:47:30",0," None ",2011-06-04,155
